DIVISION,ZILA,DisGeoCode,Shape_Leng,Shape_Area,_ID,Total Population (N),rural_pop_pct,working_age_total,Number of Households (N),Number of poor (N),Poverty headcount ratio (%),"Poverty headcount ratio, National avg (%)","Poverty headcount ratio, Rank",Number of extreme poor (N),Extreme poverty headcount ratio (%),"Extreme poverty headcount ratio, National avg (%)","Extreme poverty headcount ratio, Rank",Primary employment: Agriculture (N),Primary employment: Agriculture (%),"Primary employment: Agriculture, National avg (%)","Primary employment: Agriculture, Rank",Primary employment: Industry (N),Primary employment: Industry (%),"Primary employment: Industry, National avg (%)","Primary employment: Industry, Rank",Primary employment: Services (N),Primary employment: Services (%),"Primary employment: Services, National avg (%)","Primary employment: Services, Rank",Households with Electricity (N),Households with Electricity (%),"Households with Electricity, National avg (%)","Households with Electricity, Rank",Households with flush toilet  (N),Households with flush toilet (%),"Households with flush toilet, National avg (%)","Households with flush toilet, Rank","Households with non-flush, latrine (N)","Households with non-flush, latrine (%)","Households with non-flush, latrine, National avg (%)","Households with non-flush, latrine, Rank",Literate population (18 years and older) (N),Literate population (18 years and older) (%),"Literate population (18 years and older), National avg (%)","Literate population (18 years and older), Rank",Educational attainment: Less than primary completed (18 years and older) (N),Educational attainment: Less than primary completed (18 years and older) (%),"Educational attainment: Less than primary completed (18 years and older), National avg (%)","Educational attainment: Less than primary completed (18 years and older), Rank",Educational attainment: Primary completed (18 years and older) (N),Educational attainment: Primary completed (18 years and older) (%),"Educational attainment: Primary completed (18 years and older), National avg (%)","Educational attainment: Primary completed (18 years and older), Rank",Educational attainment: Secondary completed (18 years and older) (N),Educational attainment: Secondary completed (18 years and older) (%),"Educational attainment: Secondary completed (18 years and older), National avg (%)","Educational attainment: Secondary completed (18 years and older), Rank",Educational attainment: University completed (18 years and older) (N),Educational attainment: University completed (18 years and older) (%),"Educational attainment: University completed (18 years and older), National avg (%)","Educational attainment: University completed (18 years and older), Rank",School attendance among 6-18 years old (N),School attendance among 6-18 years old (%),"School attendance among 6-18 years old, National avg (%)","School attendance among 6-18 years old, Rank",School attendance among 6-10 years old (N),School attendance among 6-10 years old (%),"School attendance among 6-10 years old, National avg (%)","School attendance among 6-10 years old, Rank",School attendance among 11-13 years old (N),School attendance among 11-13 years old (%),"School attendance among 11-13 years old, National avg (%)","School attendance among 11-13 years old, Rank",School attendance among 14-15 years old (N),School attendance among 14-15 years old (%),"School attendance among 14-15 years old, National avg (%)","School attendance among 14-15 years old, Rank",School attendance among 16-18 years old (N),School attendance among 16-18 years old (%),"School attendance among 16-18 years old, National avg (%)","School attendance among 16-18 years old, Rank",Population in National bottom 40% (N),Percentage of population in bottom 40% (%),"Percentage of population in bottom 40%, national avg (%)","Percentage of population in bottom 40%, Rank",Number of underweight children (N),Percentage of underweight children (%),"Percentage of underweight children, National avg (%)","Percentage of underweight children, Rank",Number of severely underweight children (N),Percentage of severely underweight children (%),"Percentage of severely underweight children, National avg (%)","Percentage of severely underweight children, Rank (%)",Number of stunted children (N),Percentage of stunted children (%),"Percentage of stunted children, National avg (%)","Percentage of stunted children, Rank",Number of severely stunted children (N),Percentage of severely stunted children (%),"Percentage of severely stunted children, National avg (%)","Percentage of severely stunted children, Rank (%)",Households with tap water (N),Households with tap water (%),"Households with tap water, National avg (%)","Households with tap water, Rank",Households with tubewell water  (N),Households with tubewell water (%),"Households with tubewell water, National avg (%)","Households with tubewell water, Rank",Population between 0 and 6 years old (N),Population between 0 and 6 years old (%),"Population between 0 and 6 years old, National avg (%)","Population between 0 and 6 years old , Rank",Population between 7 and 14 years old (N),Population between 7 and 14 years old (%),"Population between 7 and 14 years old, National avg (%)","Population between 7 and 14 years old, Rank",Population between 15 and 64 years old (N),Population between 15 and 64 years old (%),working_age_pct,"Population between 15 and 64 years old, Rank",Population ages 65 and above (N),Population ages 65 and above (%),"Population ages 65 and above, National avg (%)","Population ages 65 and above, Rank","Households without toilet, open defecation (N)",no_toilet_pct,"Households without toilet, open defecation, National avg (%)","Households without toilet, open defecation, Rank"
Barisal,Barguna,1004,320746.8125,1517787136,1,890340,88.52592468261719,534220,215860,169164.59375,19,31.5,9/64,87253.3203125,9.800000190734863,17.600000381469727,12/64,152440,64.17445373535156,47.358436584472656,27/64,17180,7.232466220855713,14.91544246673584,37/64,67920,28.59307861328125,37.72611999511719,40/64,62500,28.953950881958008,56.4530029296875,59/64,55520,25.720375061035156,25.06646728515625,24/64,104160,48.25349807739258,38.68394088745117,50/64,314800,57.23427963256836,50.519447326660156,11/64,239700,43.58023452758789,50.29268264770508,54/64,236160,42.93661880493164,33.05747604370117,4/64,61240,11.134140968322754,12.836710929870605,29/64,12920,2.3490054607391357,3.813133716583252,38/64,191120,77.32643127441406,69.74742889404297,3/64,113160,84.0089111328125,78.35710906982422,5/64,48160,82.89156341552734,77.2594223022461,17/64,18500,68.26568603515625,57.99014663696289,8/64,11300,41.45267868041992,34.70724105834961,18/64,180487.06444215775,19.905654907226562,40,7/64,28284.173828125,32.310001373291016,34.400001525878906,15/64,6285.3720703125,7.180000305175781,8.100781440734863,15/64,33702.8984375,38.5,41.2209358215332,12/64,19109.982421875,21.829999923706055,23.37906265258789,20/64,4020,1.8623182773590088,10.677162170410156,39/64,186660,86.47271728515625,83.48734283447266,51/64,132180,14.846013069152832,15.506486892700195,40/64,171440,19.255565643310547,19.112524032592773,34/64,534220,60.00179672241211,60.6515007019043,31/64,52500,5.896623611450195,4.729492664337158,8/64,5580,2.5850086212158203,7.720252990722656,17/64
Barisal,Barisal,1006,394681.03125,2489303808,2,2308540,78.157562255859375,1346080,513760,1265079.875,54.79999923706055,31.5,63/64,921107.4375,39.89999771118164,17.600000381469727,63/64,305960,51.320068359375,47.358436584472656,49/64,60580,10.161360740661621,14.91544246673584,22/64,229640,38.51856994628906,37.72611999511719,14/64,277680,54.048583984375,56.4530029296875,22/64,166000,32.31080627441406,25.06646728515625,12/64,258060,50.229679107666016,38.68394088745117,52/64,830940,61.36021041870117,50.519447326660156,5/64,538420,39.7592658996582,50.29268264770508,58/64,558020,41.20661544799805,33.05747604370117,6/64,206380,15.239994049072266,12.836710929870605,7/64,51380,3.7941222190856934,3.813133716583252,5/64,539280,75.10235595703125,69.74742889404297,16/64,298940,82.37531280517578,78.35710906982422,11/64,145700,81.67040252685547,77.2594223022461,25/64,58840,64.744720458984375,57.99014663696289,24/64,35800,41.686073303222656,34.70724105834961,17/64,1658741.9916307926,70.55498504638672,40,63/64,72229.125,31.65999984741211,34.400001525878906,12/64,16015.4267578125,7.0199995040893555,8.100781440734863,13/64,87263.546875,38.25,41.2209358215332,9/64,49072.9140625,21.510000228881836,23.37906265258789,17/64,9020,1.7556835412979126,10.677162170410156,40/64,482440,93.90377044677734,83.48734283447266,29/64,346280,14.999957084655762,15.506486892700195,37/64,483560,20.94657325744629,19.112524032592773,16/64,1346080,58.3087158203125,60.6515007019043,42/64,132620,5.74475622177124,4.729492664337158,12/64,7220,1.4053254127502441,7.720252990722656,3/64
Barisal,Bhola,1009,361184.90625,3175582464,3,1778060,86.33988189697266,972220,372760,590315.875,33.19999694824219,31.5,36/64,362724.21875,20.399999618530273,17.600000381469727,40/64,309120,67.3992691040039,47.358436584472656,15/64,30540,6.658817291259766,14.91544246673584,43/64,118980,25.941913604736328,37.72611999511719,52/64,98460,26.41377830505371,56.4530029296875,62/64,34960,9.37868881225586,25.06646728515625,60/64,189000,50.70286560058594,38.68394088745117,53/64,402520,41.78813171386719,50.519447326660156,50/64,583380,60.56434631347656,50.29268264770508,13/64,275040,28.553632736206055,33.05747604370117,52/64,85020,8.826460838317871,12.836710929870605,53/64,19800,2.0555624961853027,3.813133716583252,49/64,375640,64.74989318847656,69.74742889404297,56/64,225640,72.29270935058594,78.35710906982422,61/64,98120,71.46395111083984,77.2594223022461,55/64,33680,50.01484680175781,57.99014663696289,55/64,18200,28.715682983398438,34.70724105834961,55/64,806070.2530747652,44.51565170288086,40,36/64,82082.6328125,38.099998474121094,34.400001525878906,55/64,20143.640625,9.350000381469727,8.100781440734863,52/64,92509.9375,42.939998626708984,41.2209358215332,46/64,53989.26171875,25.05999755859375,23.37906265258789,47/64,1020,0.27363452315330505,10.677162170410156,64/64,358460,96.16374969482422,83.48734283447266,12/64,324560,18.253602981567383,15.506486892700195,9/64,397420,22.35132598876953,19.112524032592773,3/64,972220,54.67869567871094,60.6515007019043,58/64,83860,4.716376304626465,4.729492664337158,45/64,23180,6.218478679656982,7.720252990722656,36/64
Barisal,Jhalokati,1042,210694.796875,738168768,4,671680,83.5635986328125,395400,157480,272030.40625,40.5,31.5,49/64,179338.546875,26.69999885559082,17.600000381469727,52/64,78140,47.50151824951172,47.358436584472656,53/64,17400,10.577507019042969,14.91544246673584,18/64,68960,41.92097091674805,37.72611999511719,10/64,76580,48.628395080566406,56.4530029296875,33/64,71700,45.52959060668945,25.06646728515625,2/64,65180,41.389381408691406,38.68394088745117,37/64,273360,67.69688415527344,50.519447326660156,2/64,136600,33.82862854003906,50.29268264770508,63/64,185660,45.978206634521484,33.05747604370117,1/64,69100,17.1124324798584,12.836710929870605,4/64,12440,3.080733060836792,3.813133716583252,16/64,165080,80.82647705078125,69.74742889404297,1/64,89400,87.06661224365234,78.35710906982422,1/64,44280,87.54447937011719,77.2594223022461,1/64,19340,73.25757598876953,57.99014663696289,2/64,12060,49.06427764892578,34.70724105834961,1/64,380053.6487814188,55.56083297729492,40,49/64,18088.447265625,28.84000015258789,34.400001525878906,4/64,3813.3759765625,6.079999923706055,8.100781440734863,4/64,23206.400390625,37,41.2209358215332,4/64,12951.6796875,20.649999618530273,23.37906265258789,12/64,1020,0.6477012634277344,10.677162170410156,61/64,147420,93.61189270019531,83.48734283447266,34/64,93560,13.929252624511719,15.506486892700195,49/64,138440,20.611003875732422,19.112524032592773,20/64,395400,58.86731719970703,60.6515007019043,39/64,44280,6.5924248695373535,4.729492664337158,2/64,2000,1.2700024843215942,7.720252990722656,2/64
Barisal,Patuakhali,1078,414700.1875,3159387392,5,1530060,87.0789566040039,889180,346580,394755.46875,25.799999237060547,31.5,20/64,224918.8125,14.699999809265137,17.600000381469727,23/64,250740,61.600830078125,47.358436584472656,31/64,34540,8.485652923583984,14.91544246673584,31/64,121760,29.91352081298828,37.72611999511719,32/64,110540,31.89451026916504,56.4530029296875,56/64,83120,23.98291778564453,25.06646728515625,28/64,164760,47.5388069152832,38.68394088745117,49/64,480120,52.927947998046875,50.519447326660156,20/64,436460,48.11491394042969,50.29268264770508,48/64,342740,37.7833137512207,33.05747604370117,13/64,106380,11.727224349975586,12.836710929870605,20/64,21540,2.3745481967926025,3.813133716583252,36/64,331780,73.31830596923828,69.74742889404297,24/64,190720,79.25531768798828,78.35710906982422,31/64,86940,79.732208251953125,77.2594223022461,37/64,33140,64.2746353149414,57.99014663696289,26/64,20980,40.912635803222656,34.70724105834961,21/64,484934.4876201153,31.121524810791016,40,17/64,54811.28125,34.33000183105469,34.400001525878906,32/64,12629.10546875,7.909999847412109,8.100781440734863,30/64,64582.47265625,40.45000076293945,41.2209358215332,25/64,37120.94921875,23.25,23.37906265258789,34/64,2980,0.8598303198814392,10.677162170410156,53/64,335640,96.84343719482422,83.48734283447266,3/64,242680,15.860815048217773,15.506486892700195,29/64,310080,20.265871047973633,19.112524032592773,24/64,889180,58.11406326293945,60.6515007019043,44/64,88120,5.759251117706299,4.729492664337158,11/64,11120,3.2084946632385254,7.720252990722656,22/64
Barisal,Pirojpur,1079,320655.28125,1271725824,6,1104760,83.882476806640625,658880,256100,487199.1875,44.10000228881836,31.5,53/64,341370.8125,30.89999771118164,17.600000381469727,59/64,149800,51.15770721435547,47.358436584472656,50/64,29500,10.074448585510254,14.91544246673584,24/64,113520,38.767845153808594,37.72611999511719,13/64,109120,42.60835647583008,56.4530029296875,40/64,78480,30.64427947998047,25.06646728515625,14/64,112920,44.0921516418457,38.68394088745117,46/64,443680,65.41058349609375,50.519447326660156,3/64,248220,36.594425201416016,50.29268264770508,61/64,311600,45.938377380371094,33.05747604370117,2/64,97860,14.427244186401367,12.836710929870605,9/64,20620,3.0399527549743652,3.813133716583252,17/64,244100,76.9012680053711,69.74742889404297,4/64,137240,84.35157012939453,78.35710906982422,2/64,63260,83.58879852294922,77.2594223022461,12/64,27120,67.5298843383789,57.99014663696289,13/64,16480,42.3868293762207,34.70724105834961,9/64,641945.6463954449,57.05800247192383,40,53/64,31913.052734375,29.670000076293945,34.400001525878906,6/64,6754.7685546875,6.280000686645508,8.100781440734863,6/64,41034.140625,38.150001525878906,41.2209358215332,6/64,23211.447265625,21.579999923706055,23.37906265258789,18/64,11620,4.537290096282959,10.677162170410156,17/64,191120,74.6270980834961,83.48734283447266,56/64,160580,14.535284042358398,15.506486892700195,44/64,212180,19.205982208251953,19.112524032592773,36/64,658880,59.64010238647461,60.6515007019043,32/64,73120,6.6186323165893555,4.729492664337158,1/64,3640,1.421319842338562,7.720252990722656,5/64
Chittagong,Bandarban,2003,577215.4375,4598388736,7,391860,75.15910339355469,225400,80100,157135.859375,40.099998474121094,31.5,48/64,84641.765625,21.600000381469727,17.600000381469727,47/64,94720,71.271636962890625,47.358436584472656,7/64,7840,5.899172306060791,14.91544246673584,49/64,30340,22.829195022583008,37.72611999511719,60/64,23020,28.739076614379883,56.4530029296875,60/64,6940,8.664170265197754,25.06646728515625,62/64,14680,18.327091217041016,38.68394088745117,5/64,68740,32.820858001708984,50.519447326660156,63/64,146560,69.977081298828125,50.29268264770508,1/64,43820,20.922460556030273,33.05747604370117,64/64,15960,7.620321273803711,12.836710929870605,61/64,3100,1.4801374673843384,3.813133716583252,62/64,67820,57.29976272583008,69.74742889404297,64/64,44400,68.60321044921875,78.35710906982422,64/64,14840,58.98250961303711,77.2594223022461,64/64,5660,38.66120147705078,57.99014663696289,63/64,2920,21.0982666015625,34.70724105834961,63/64,214515.5180232525,53.75440216064453,40,47/64,19821.666015625,39.58000183105469,34.400001525878906,62/64,5328.51220703125,10.640000343322754,8.100781440734863,64/64,23893.16796875,47.709999084472656,41.2209358215332,64/64,14548.2392578125,29.049999237060547,23.37906265258789,60/64,8740,10.911360740661621,10.677162170410156,6/64,32600,40.699127197265625,83.48734283447266,62/64,74060,18.899608612060547,15.506486892700195,6/64,79720,20.34400177001953,19.112524032592773,23/64,225400,57.520545959472656,60.6515007019043,47/64,12680,3.235849380493164,4.729492664337158,62/64,29480,36.803993225097656,7.720252990722656,64/64
Chittagong,Brahmanbaria,2012,382093.96875,1921729920,8,2848260,84.15238952636719,1500100,538920,854478.0625,30.000001907348633,31.5,30/64,427239.03125,15.000000953674316,17.600000381469727,24/64,330660,53.010772705078125,47.358436584472656,46/64,61140,9.801846504211426,14.91544246673584,25/64,231960,37.1873779296875,37.72611999511719,18/64,385940,71.61360168457031,56.4530029296875,9/64,115640,21.45772933959961,25.06646728515625,32/64,260800,48.39308166503906,38.68394088745117,51/64,650700,44.021541595458984,50.519447326660156,42/64,840180,56.840354919433594,50.29268264770508,23/64,473820,32.055152893066406,33.05747604370117,36/64,138880,9.395591735839844,12.836710929870605,46/64,25260,1.708904504776001,3.813133716583252,60/64,623280,66.42510223388672,69.74742889404297,52/64,386140,75.03400421142578,78.35710906982422,55/64,149040,72.31441497802734,77.2594223022461,54/64,59120,51.62417221069336,57.99014663696289,53/64,28980,28.114086151123047,34.70724105834961,57/64,1160155.998047471,39.9965934753418,40,35/64,151056.484375,38.83000183105469,34.400001525878906,57/64,38746.39453125,9.960000038146973,8.100781440734863,59/64,165022.265625,42.41999816894531,41.2209358215332,43/64,94259.5390625,24.229999542236328,23.37906265258789,44/64,11980,2.2229645252227783,10.677162170410156,32/64,504640,93.639129638671875,83.48734283447266,32/64,572220,20.090160369873047,15.506486892700195,2/64,637740,22.390512466430664,19.112524032592773,2/64,1500100,52.66724395751953,60.6515007019043,64/64,138200,4.852085113525391,4.729492664337158,40/64,18160,3.3697023391723633,7.720252990722656,24/64
Chittagong,Chandpur,2013,264917.90625,1697949568,9,2406900,82.074798583984375,1369980,506620,1227519,51,31.5,60/64,729290.6875,30.30000114440918,17.600000381469727,57/64,280220,51.361854553222656,47.358436584472656,47/64,61900,11.345724105834961,14.91544246673584,14/64,203460,37.292423248291016,37.72611999511719,17/64,281140,55.49327087402344,56.4530029296875,21/64,68020,13.426237106323242,25.06646728515625,50/64,283440,55.94725799560547,38.68394088745117,60/64,766600,56.056861877441406,50.519447326660156,14/64,611500,44.715328216552734,50.29268264770508,53/64,548320,40.09535217285156,33.05747604370117,8/64,176780,12.926861763000488,12.836710929870605,15/64,30940,2.2624566555023193,3.813133716583252,43/64,568680,73.71477508544922,69.74742889404297,21/64,311980,81.794342041015625,78.35710906982422,15/64,152540,82.33833312988281,77.2594223022461,23/64,66660,63.20880126953125,57.99014663696289,29/64,37500,37.75674819946289,34.70724105834961,31/64,1708691.9404919147,69.709503173828125,40,61/64,98821.34375,37.880001068115234,34.400001525878906,53/64,24914.0390625,9.550000190734863,8.100781440734863,54/64,104612.875,40.099998474121094,41.2209358215332,21/64,59689.34375,22.8799991607666,23.37906265258789,30/64,30460,6.012395858764648,10.677162170410156,12/64,447380,88.30682373046875,83.48734283447266,45/64,387100,16.082927703857422,15.506486892700195,27/64,506680,21.051143646240234,19.112524032592773,15/64,1369980,56.918861389160156,60.6515007019043,51/64,143140,5.947068691253662,4.729492664337158,6/64,12940,2.554182767868042,7.720252990722656,16/64
Chittagong,Chittagong,2015,695380.75,4779564032,10,7633760,58.72428512573242,4742080,1531600,877882.4375,11.5,31.5,3/64,305350.40625,4,17.600000381469727,3/64,396420,17.546142578125,47.358436584472656,61/64,548740,24.288053512573242,14.91544246673584,4/64,1314140,58.16580581665039,37.72611999511719,2/64,1214760,79.3131332397461,56.4530029296875,5/64,486060,31.735441207885742,25.06646728515625,13/64,694740,45.360408782958984,38.68394088745117,47/64,2755340,60.85948181152344,50.519447326660156,7/64,1758900,38.850284576416016,50.29268264770508,59/64,1641460,36.256290435791016,33.05747604370117,17/64,862820,19.057823181152344,12.836710929870605,2/64,264200,5.835604667663574,3.813133716583252,2/64,1610700,69.25477600097656,69.74742889404297,44/64,887660,80.90377044677734,78.35710906982422,23/64,412780,77.67198944091797,77.2594223022461,43/64,186720,56.53384780883789,57.99014663696289,45/64,123540,33.67496871948242,34.70724105834961,41/64,1177508.330021143,15.146480560302734,40,4/64,257104.234375,33.540000915527344,34.400001525878906,24/64,62091.359375,8.100000381469727,8.100781440734863,36/64,312526.5,40.77000045776367,41.2209358215332,28/64,176462.125,23.020000457763672,23.37906265258789,32/64,356760,23.29328727722168,10.677162170410156,3/64,1090160,71.17784881591797,83.48734283447266,57/64,1124660,14.73271369934082,15.506486892700195,42/64,1477620,19.35638427734375,19.112524032592773,32/64,4742080,62.11984634399414,60.6515007019043,17/64,289400,3.7910542488098145,4.729492664337158,58/64,38180,2.4928181171417236,7.720252990722656,15/64
