YEAR,LOCATION,PRICE_KG
1998,Dhaka,12.614
1998,Dhaka,12.8875
1998,Dhaka,14.155
1998,Dhaka,14.3175
1998,Dhaka,14.69
1999,Dhaka,14.482000000000001
1999,Dhaka,14.575
1999,Dhaka,12.0425
1999,Dhaka,11.15
1999,Dhaka,11.52
1999,Dhaka,11.85
1999,Dhaka,11.818
1999,Dhaka,11.7375
1999,Dhaka,11.0975
2000,Dhaka,11.388
2000,Dhaka,11.9425
2000,Dhaka,12.445
2000,Dhaka,12.08
2000,Dhaka,11.71
2000,Dhaka,11.9
2000,Dhaka,11.56
2000,Dhaka,11.025
2000,Dhaka,11
2000,Dhaka,11.4225
2000,Dhaka,11.15
2000,Dhaka,10.7
2001,Dhaka,10.92
2001,Dhaka,11.6
2001,Dhaka,11.91
2001,Dhaka,11.6
2001,Dhaka,10.17
2001,Dhaka,10.01
2001,Dhaka,10.37
2001,Dhaka,11.02
2001,Dhaka,11.46
2001,Dhaka,11.45
2001,Dhaka,11.29
2002,Dhaka,12.1
2002,Dhaka,12.67
2002,Dhaka,12.79
2002,Dhaka,12.63
2002,Dhaka,12.17
2002,Dhaka,12
2002,Dhaka,12.18
2002,Dhaka,12.7
2002,Dhaka,13.24
2002,Dhaka,13.5
2002,Dhaka,12.63
2003,Dhaka,12.63
2003,Dhaka,13.39
2003,Dhaka,13.69
2003,Dhaka,13.16
2003,Dhaka,13.91
2003,Dhaka,13.2
2003,Dhaka,13.2
2004,Dhaka,13.2
2004,Dhaka,14
2004,Dhaka,13.2
2004,Dhaka,14
2004,Dhaka,13.47
2004,Dhaka,14
2004,Dhaka,13.47
2004,Dhaka,14
2004,Dhaka,13.27
2004,Dhaka,14
2004,Dhaka,14
2004,Dhaka,13.43
2004,Dhaka,14.5
2004,Dhaka,14.1
2004,Dhaka,13.85
2004,Dhaka,14
2004,Dhaka,14.39
2004,Dhaka,15
2004,Dhaka,15.63
2004,Dhaka,16.15
2004,Dhaka,14.5
2005,Dhaka,15.99
2005,Dhaka,17
2005,Dhaka,16.39
2005,Dhaka,17
2005,Dhaka,15.76
2005,Dhaka,16
2005,Dhaka,16
2005,Dhaka,15
2005,Dhaka,16
2005,Dhaka,15.79
2005,Dhaka,16
2005,Dhaka,15.84
2005,Dhaka,16
2005,Dhaka,16
